Entity,Code,Year,Population by broad age group - Sex: all - Age: 65+ - Variant: estimates,Population by broad age group - Sex: all - Age: 25-64 - Variant: estimates,Population by broad age group - Sex: all - Age: 15-24 - Variant: estimates,Population by broad age group - Sex: all - Age: 5-14 - Variant: estimates,Population by broad age group - Sex: all - Age: 0-4 - Variant: estimates
Pakistan,PAK,1950,2065140,13331681,7037643,9373098,5888701
Pakistan,PAK,1951,1994322,13587014,7194213,9570504,5869736
Pakistan,PAK,1952,1935088,13858208,7357156,9759392,5906936
Pakistan,PAK,1953,1885147,14145535,7527221,9925902,6004428
Pakistan,PAK,1954,1842415,14449665,7706290,10059542,6166183
Pakistan,PAK,1955,1806189,14771267,7894832,10164663,6386177
Pakistan,PAK,1956,1776077,15110380,8091182,10270175,6637179
Pakistan,PAK,1957,1751202,15466897,8295250,10402300,6892866
Pakistan,PAK,1958,1731714,15840309,8508839,10560026,7154104
Pakistan,PAK,1959,1717895,16228895,8726746,10749143,7420962
Pakistan,PAK,1960,1709893,16632703,8937560,10980563,7693510
Pakistan,PAK,1961,1705540,17014734,9118455,11254072,7968113
Pakistan,PAK,1962,1704648,17373762,9273513,11569929,8239993
Pakistan,PAK,1963,1710024,17748602,9412952,11944910,8508566
Pakistan,PAK,1964,1722827,18143190,9527664,12386070,8772848
Pakistan,PAK,1965,1743296,18558830,9621630,12887847,9030028
Pakistan,PAK,1966,1772229,18997130,9722854,13426146,9281062
Pakistan,PAK,1967,1809895,19460066,9856625,13972504,9530706
Pakistan,PAK,1968,1855218,19949060,10020968,14521616,9777879
Pakistan,PAK,1969,1906609,20459318,10220498,15072229,10018151
Pakistan,PAK,1970,1963704,20980860,10464532,15623590,10258188
Pakistan,PAK,1971,2016621,21469136,10740868,16164259,10487902
Pakistan,PAK,1972,2071774,21951748,11059018,16696687,10730340
Pakistan,PAK,1973,2138697,22461098,11448182,17225184,11012470
Pakistan,PAK,1974,2210345,22969880,11910208,17737830,11320910
Pakistan,PAK,1975,2287811,23497410,12446456,18241984,11653340
Pakistan,PAK,1976,2371390,24074872,13031037,18748616,12005012
Pakistan,PAK,1977,2460151,24719518,13627790,19266856,12376797
Pakistan,PAK,1978,2553780,25429344,14228248,19804020,12773935
Pakistan,PAK,1979,2655478,26293984,14876505,20367526,13213849
Pakistan,PAK,1980,2771982,27489944,15656080,20975856,13730194
Pakistan,PAK,1981,2898070,28916852,16486424,21624956,14343903
Pakistan,PAK,1982,3020509,30281332,17194270,22298616,15033476
Pakistan,PAK,1983,3135814,31461972,17724504,23001770,15756315
Pakistan,PAK,1984,3245419,32444880,18092156,23747068,16474356
Pakistan,PAK,1985,3361420,33519188,18487536,24569912,17183498
Pakistan,PAK,1986,3486405,34779504,18973708,25497112,17881790
Pakistan,PAK,1987,3611657,36080960,19479160,26521996,18557320
Pakistan,PAK,1988,3736311,37393456,19998924,27623372,19215774
Pakistan,PAK,1989,3860394,38662664,20504676,28775338,19867318
Pakistan,PAK,1990,3986511,39924296,21025212,29963636,20514416
Pakistan,PAK,1991,4115030,41187790,21574616,31200036,21126102
Pakistan,PAK,1992,4228390,42084480,21968138,32454436,21639734
Pakistan,PAK,1993,4341605,42965652,22440148,33743324,22055894
Pakistan,PAK,1994,4468457,44124316,23158084,35077690,22416590
Pakistan,PAK,1995,4599423,45374984,23999730,36404668,22738680
Pakistan,PAK,1996,4737515,46776812,24998642,37684096,23037746
Pakistan,PAK,1997,4878307,48191956,26069760,38878892,23311356
Pakistan,PAK,1998,5023714,49664696,27213988,39970784,23602926
Pakistan,PAK,1999,5175524,51199996,28406754,40987500,23924696
Pakistan,PAK,2000,5343828,53024090,29746760,41983864,24271386
Pakistan,PAK,2001,5520269,54985228,31140604,42923870,24647754
Pakistan,PAK,2002,5680462,56535964,32292784,43744064,25009532
Pakistan,PAK,2003,5837000,57889376,33343536,44476160,25330608
Pakistan,PAK,2004,6007290,59377360,34483440,45170264,25610268
Pakistan,PAK,2005,6185569,60905190,35623224,45809904,25848216
Pakistan,PAK,2006,6374674,62501948,36720724,46428388,26044248
Pakistan,PAK,2007,6578991,64236316,37783948,47058796,26266476
Pakistan,PAK,2008,6796507,66088260,38786468,47689108,26571604
Pakistan,PAK,2009,7024201,68074740,39767732,48298816,26957740
Pakistan,PAK,2010,7254403,70158520,40734844,48873492,27433242
Pakistan,PAK,2011,7479220,72180560,41565170,49410664,27967126
Pakistan,PAK,2012,7690792,73955790,42148864,49958120,28452300
Pakistan,PAK,2013,7886526,75525416,42540452,50542010,28843156
Pakistan,PAK,2014,8068892,77046170,42868370,51138636,29129564
Pakistan,PAK,2015,8240680,78504760,43156204,51787860,29279792
Pakistan,PAK,2016,8420707,79870370,43437516,52471496,29324752
Pakistan,PAK,2017,8639040,81389530,43871424,53161740,29317924
Pakistan,PAK,2018,8899133,83153410,44498484,53880730,29299732
Pakistan,PAK,2019,9189770,85012520,45182520,54587970,29320502
Pakistan,PAK,2020,9483600,87082490,45949028,55248628,29433000
Pakistan,PAK,2021,9768444,89368240,46785264,55875696,29604480
